ID	DOCULECT	CONCEPT	TOKENS
138	idssegmented-bulgarian	olderbrother	b a t j o
139	idssegmented-bulgarian	olderbrother	b a t k o
140	idssegmented-bulgarian	olderbrother	b a j
141	idssegmented-bulgarian	youngerbrother	p o + m a l ə k + b r a t
142	idssegmented-bulgarian	sister	s e s t r a
143	idssegmented-bulgarian	oldersister	k a k a
144	idssegmented-bulgarian	oldersister	p o + g o l j a m a + s e s t r a
145	idssegmented-bulgarian	youngersister	p o + m a l k a + s e s t r a
146	idssegmented-bulgarian	sibling	r o d e n + b r a t
147	idssegmented-bulgarian	sibling	r o d n a + s e s t r a
148	idssegmented-bulgarian	twins	b l i z n a tʃ i
149	idssegmented-bulgarian	grandfather	d j a d o
150	idssegmented-bulgarian	oldman	s t a r e tʃ
151	idssegmented-bulgarian	oldman	d j a d o
152	idssegmented-bulgarian	grandmother	b a b a
153	idssegmented-bulgarian	oldwoman	s t a r i tʃ a
154	idssegmented-bulgarian	oldwoman	b a b a
155	idssegmented-bulgarian	grandson	v n u k
156	idssegmented-bulgarian	granddaughter	v n u tʃ k a
157	idssegmented-bulgarian	uncle	tʃ i tʃ o
158	idssegmented-bulgarian	maternalunclemothersbrother	v u j tʃ o
159	idssegmented-bulgarian	paternalunclefathersbrother	tʃ i tʃ o
160	idssegmented-bulgarian	aunt	l e l j a
161	idssegmented-bulgarian	maternalauntmotherssister	v u j n a
162	idssegmented-bulgarian	paternalauntfatherssister	t e t k a
163	idssegmented-bulgarian	paternalauntfatherssister	l e l j a
164	idssegmented-bulgarian	nephew	p l e m e nː i k
165	idssegmented-bulgarian	niece	p l e m e nː i c a
166	idssegmented-bulgarian	cousin	b r a t o v tʃ e d
167	idssegmented-bulgarian	cousin	b r a t o v tʃ e d k a
168	idssegmented-bulgarian	ancestors	p r a r o d i t e l i
169	idssegmented-bulgarian	ancestors	p r a o t tʃ i
170	idssegmented-bulgarian	descendants	p o t o m tʃ i
171	idssegmented-bulgarian	fatherinlawofman	t ə́ s t
172	idssegmented-bulgarian	fatherinlawofwoman	s v e k ə r
173	idssegmented-bulgarian	motherinlawofman	t ə́ ʃ t a
174	idssegmented-bulgarian	motherinlawofwoman	s v e k ə́ r v a
175	idssegmented-bulgarian	soninlawofman	z e t
176	idssegmented-bulgarian	soninlawofwoman	z e t
177	idssegmented-bulgarian	daughterinlawofman	s n a x a
178	idssegmented-bulgarian	daughterinlawofwoman	s n a x a
179	idssegmented-bulgarian	stepfather	v t o r i + b a ʃ t a
180	idssegmented-bulgarian	stepmother	m a ʃ t e x a
181	idssegmented-bulgarian	stepson	d o v e d e n
182	idssegmented-bulgarian	stepson	z a v a r e n + s i n
183	idssegmented-bulgarian	stepdaughter	d o v e d e n a
184	idssegmented-bulgarian	stepdaughter	z a v a r e n a + d ə s t e r j a
185	idssegmented-bulgarian	orphan	s i r a k
186	idssegmented-bulgarian	orphan	s i r a tʃ e
187	idssegmented-bulgarian	widow	v d o v i tʃ a
188	idssegmented-bulgarian	widower	v d o v e tʃ
189	idssegmented-bulgarian	relatives	r o d n i n i
190	idssegmented-bulgarian	relatives	r o dz t v e n i tʃ i
191	idssegmented-bulgarian	family	s e m e j s t v o
192	idssegmented-bulgarian	family	f a m i l i j a
193	idssegmented-bulgarian	i	a z
194	idssegmented-bulgarian	thou	t i
195	idssegmented-bulgarian	thou	v i e
196	idssegmented-bulgarian	heorsheorit	t o j
197	idssegmented-bulgarian	heorsheorit	t j a
198	idssegmented-bulgarian	heorsheorit	t o
199	idssegmented-bulgarian	we	n i e
200	idssegmented-bulgarian	weinclusive	n i e
201	idssegmented-bulgarian	weexclusive	n i e
202	idssegmented-bulgarian	you	v i e
203	idssegmented-bulgarian	they	t e
204	idssegmented-bulgarian	animal	ʒ i v o t n o
205	idssegmented-bulgarian	animal	d o b i tʃ e
206	idssegmented-bulgarian	maleofanimal	m ə́ ʒ k i
207	idssegmented-bulgarian	maleofanimal	m ə́ ʒ k a r
208	idssegmented-bulgarian	maleofanimal	s a m e tʃ
209	idssegmented-bulgarian	femaleofanimal	ʒ e n s k a
210	idssegmented-bulgarian	femaleofanimal	ʒ e n s k i
211	idssegmented-bulgarian	femaleofanimal	s a m k a
212	idssegmented-bulgarian	livestock	d o b i t ə k
213	idssegmented-bulgarian	pasture	p a ʃ a
214	idssegmented-bulgarian	pasture	p a s b i ʃ t e
215	idssegmented-bulgarian	pasture	p a s i ʃ t e
216	idssegmented-bulgarian	herdsman	p a s t i r
217	idssegmented-bulgarian	herdsman	g o v e d a r
218	idssegmented-bulgarian	stable	k o n j u ʃ n a
219	idssegmented-bulgarian	stable	o b o r
220	idssegmented-bulgarian	stable	k r a v a r n i k
221	idssegmented-bulgarian	cattle	g o v e d a
222	idssegmented-bulgarian	cattle	e d ə r + d o b i t ə k
223	idssegmented-bulgarian	bull	b i k
224	idssegmented-bulgarian	ox	v o l
225	idssegmented-bulgarian	cow	k r a v a
226	idssegmented-bulgarian	calf	t e l e
227	idssegmented-bulgarian	sheep	o v tʃ a
228	idssegmented-bulgarian	ram	o v e n
229	idssegmented-bulgarian	ram	k o tʃ
230	idssegmented-bulgarian	ewe	o v tʃ a
231	idssegmented-bulgarian	lamb	a g n e
232	idssegmented-bulgarian	boarmalepig	n e r e z
233	idssegmented-bulgarian	boarmalepig	ʃ o p a r
234	idssegmented-bulgarian	boarmalepig	g l i g a n
235	idssegmented-bulgarian	sowfemalepig	s v i n j a
236	idssegmented-bulgarian	sowfemalepig	s v i n j a + m a j k a
237	idssegmented-bulgarian	pig	p r a s e
238	idssegmented-bulgarian	goat	k o z a
239	idssegmented-bulgarian	malegoat	k o z e l
240	idssegmented-bulgarian	younggoatkid	k o z l e
241	idssegmented-bulgarian	younggoatkid	j a r e
242	idssegmented-bulgarian	horse	k o n
243	idssegmented-bulgarian	stallion	ʒ r e b e tʃ
244	idssegmented-bulgarian	mare	k o b i l a
245	idssegmented-bulgarian	foal	k o n tʃ e
246	idssegmented-bulgarian	foal	ʒ r e b tʃ e
247	idssegmented-bulgarian	donkey	m a g a r e
248	idssegmented-bulgarian	donkey	o s e l
249	idssegmented-bulgarian	mule	k a t ə r
250	idssegmented-bulgarian	mule	m u l e
251	idssegmented-bulgarian	fowl	p t i tʃ a
252	idssegmented-bulgarian	rooster	p e t e l
253	idssegmented-bulgarian	hen	k o k o ʃ k a
254	idssegmented-bulgarian	chicken	p i l e
255	idssegmented-bulgarian	goose	g ə́ s k a
256	idssegmented-bulgarian	duck	p a t i tʃ a
257	idssegmented-bulgarian	nest	g n e z d o
258	idssegmented-bulgarian	nest	p o l o g
259	idssegmented-bulgarian	bird	p t i tʃ a
260	idssegmented-bulgarian	bird	p t i tʃ k a
261	idssegmented-bulgarian	seagull	tʃ a j k a
262	idssegmented-bulgarian	heron	tʃ a p l a
263	idssegmented-bulgarian	eagle	o r e l
264	idssegmented-bulgarian	hawk	j a s t r e b
265	idssegmented-bulgarian	vulture	l e ʃ o j a d
266	idssegmented-bulgarian	bat	p r i l e p
267	idssegmented-bulgarian	parrot	p a p a g a l
268	idssegmented-bulgarian	crow	v r a n a
269	idssegmented-bulgarian	crow	g a r g a
270	idssegmented-bulgarian	dove	g ə́ l ə b
271	idssegmented-bulgarian	owl	b u x a l
272	idssegmented-bulgarian	owl	k u k u m j a v k a
273	idssegmented-bulgarian	owl	s o v a
274	idssegmented-bulgarian	dog	k u tʃ e
275	idssegmented-bulgarian	rabbit	z a e k
276	idssegmented-bulgarian	cat	k o t k a
277	idssegmented-bulgarian	opossum	o p o s u m
278	idssegmented-bulgarian	muroidmouseorrat	m i ʃ k a
279	idssegmented-bulgarian	muroidmouseorrat	p l ə́ x
280	idssegmented-bulgarian	fish	r i b a
281	idssegmented-bulgarian	fin	p e r k a
282	idssegmented-bulgarian	scale	l j u s p a
283	idssegmented-bulgarian	gill	x r i l e
284	idssegmented-bulgarian	shell	tʃ e r u p k a
285	idssegmented-bulgarian	shell	r a k o v i n a
286	idssegmented-bulgarian	shark	a k u l a
287	idssegmented-bulgarian	dolphin	d e l f i n
288	idssegmented-bulgarian	whale	k i t
289	idssegmented-bulgarian	freshwatereel	z m i o r k a
290	idssegmented-bulgarian	wolf	v ə́ l k
291	idssegmented-bulgarian	lion	l ə́ v
292	idssegmented-bulgarian	bear	m e tʃ k a
293	idssegmented-bulgarian	fox	l i s i tʃ a
294	idssegmented-bulgarian	deer	e l e n
295	idssegmented-bulgarian	deer	s ə r n a
296	idssegmented-bulgarian	monkey	m a j m u n a
297	idssegmented-bulgarian	elephant	s l o n
298	idssegmented-bulgarian	camel	k a m i l a
299	idssegmented-bulgarian	insect	n a s e k o m o
300	idssegmented-bulgarian	louse	v ə́ ʃ k a
301	idssegmented-bulgarian	nit	g n i d a
302	idssegmented-bulgarian	flea	b ə l x a
303	idssegmented-bulgarian	centipede	s t o + n o ʒ k a
304	idssegmented-bulgarian	scorpion	s k o r p i o n
305	idssegmented-bulgarian	cockroach	x l e b a r k a
306	idssegmented-bulgarian	ant	m r a v k a
307	idssegmented-bulgarian	spider	p a j a k
308	idssegmented-bulgarian	spiderweb	p a j a ʒ i n a
309	idssegmented-bulgarian	bee	p tʃ e l a
310	idssegmented-bulgarian	beeswax	p tʃ e l e n + v o s ə k
311	idssegmented-bulgarian	beehive	k o ʃ e r
312	idssegmented-bulgarian	wasp	o s a
313	idssegmented-bulgarian	flyinsect	m u x a
314	idssegmented-bulgarian	sandfly	m u ʃ i tʃ a
315	idssegmented-bulgarian	sandfly	m u ʃ i tʃ k a
316	idssegmented-bulgarian	sandfly	k o m a r tʃ e
317	idssegmented-bulgarian	mosquito	k o m a r
318	idssegmented-bulgarian	worm	tʃ e r v e j
319	idssegmented-bulgarian	snake	z m i j a
320	idssegmented-bulgarian	firefly	s v e t u l k a
321	idssegmented-bulgarian	butterfly	p e p e r u d a
322	idssegmented-bulgarian	grasshopper	s k a k a l e tʃ
323	idssegmented-bulgarian	snail	o x l j u v
324	idssegmented-bulgarian	frog	ʒ a b a
325	idssegmented-bulgarian	lizard	g u ʃ t e r
326	idssegmented-bulgarian	crocodile	k r o k o d i l
327	idssegmented-bulgarian	crocodile	a l i g a t o r
328	idssegmented-bulgarian	turtle	m o r s k a + k o s t e n u r k a
329	idssegmented-bulgarian	body	t j a l o
330	idssegmented-bulgarian	skin	k o ʒ a
331	idssegmented-bulgarian	flesh	p l ə́ t
332	idssegmented-bulgarian	hairhead	k o s a
333	idssegmented-bulgarian	beard	b r a d a
334	idssegmented-bulgarian	hairbody	k o s m i
335	idssegmented-bulgarian	pubichair	o k o s m e n i e + n a + p o l o v i t e + o r g a n i
336	idssegmented-bulgarian	dandruff	p ə́ r x o t
337	idssegmented-bulgarian	blood	k r ə́ v
338	idssegmented-bulgarian	bloodvessel	v e n a
339	idssegmented-bulgarian	bloodvessel	a r t e r i j a
340	idssegmented-bulgarian	bone	k o s t
341	idssegmented-bulgarian	rib	r e b r o
342	idssegmented-bulgarian	hornanatomy	r o g
343	idssegmented-bulgarian	tail	o p a ʃ k a
344	idssegmented-bulgarian	back	g r ə́ b
345	idssegmented-bulgarian	spine	g r ə b n a k
346	idssegmented-bulgarian	head	g l a v a
347	idssegmented-bulgarian	temples	s l j a p o + o k o
348	idssegmented-bulgarian	temples	s l e p o o tʃ i e
349	idssegmented-bulgarian	skull	tʃ e r e p
350	idssegmented-bulgarian	brain	m o z ə k
351	idssegmented-bulgarian	face	l i tʃ e
352	idssegmented-bulgarian	forehead	tʃ e l o
353	idssegmented-bulgarian	jaw	tʃ e l j u s t
354	idssegmented-bulgarian	cheek	b u z a
355	idssegmented-bulgarian	cheek	s t r a n a
356	idssegmented-bulgarian	chin	b r a d a
357	idssegmented-bulgarian	chin	b r a d i tʃ k a
358	idssegmented-bulgarian	eye	o k o
359	idssegmented-bulgarian	eyebrow	v e ʒ d a
360	idssegmented-bulgarian	eyelid	k l e p a tʃ
361	idssegmented-bulgarian	eyelash	m i g l a
362	idssegmented-bulgarian	eyelash	r e s n i tʃ a
363	idssegmented-bulgarian	eyelash	k l e p k a
364	idssegmented-bulgarian	blink	m i g a m
365	idssegmented-bulgarian	blink	m i g v a m
366	idssegmented-bulgarian	blink	m i g n a
367	idssegmented-bulgarian	blink	p r e m i g v a m
368	idssegmented-bulgarian	blink	p r e m i g n a
369	idssegmented-bulgarian	ear	u x o
370	idssegmented-bulgarian	earwax	u ʃ n a + k a l
371	idssegmented-bulgarian	nose	n o s
372	idssegmented-bulgarian	nostril	n o z d r a
373	idssegmented-bulgarian	nasalmucussnot	s o p o l
374	idssegmented-bulgarian	mouth	u s t a
375	idssegmented-bulgarian	beak	k l j u n
376	idssegmented-bulgarian	beak	tʃ o v k a
377	idssegmented-bulgarian	lip	u s t n a
378	idssegmented-bulgarian	tongue	e z i k
379	idssegmented-bulgarian	tooth	z ə́ b
380	idssegmented-bulgarian	gums	v e n e tʃ
381	idssegmented-bulgarian	molartooth	k ə́ t n i k
382	idssegmented-bulgarian	molartooth	k ə́ t e n + z ə́ b
383	idssegmented-bulgarian	neck	v r a t
384	idssegmented-bulgarian	neck	ʃ i j a
385	idssegmented-bulgarian	napeofneck	t i l
386	idssegmented-bulgarian	throat	g ə́ r l o
387	idssegmented-bulgarian	shoulder	r a m o
388	idssegmented-bulgarian	shoulderblade	l o p a t k a
389	idssegmented-bulgarian	shoulderblade	p l e ʃ k a
390	idssegmented-bulgarian	collarbone	k l j u tʃ i tʃ a
391	idssegmented-bulgarian	arm	r ə k a
392	idssegmented-bulgarian	armpit	m i ʃ n i tʃ a
393	idssegmented-bulgarian	armpit	p o d m i ʃ n i tʃ a
394	idssegmented-bulgarian	armpit	p o d m i ʃ n i tʃ n a + j a m k a
395	idssegmented-bulgarian	elbow	l a k ə t
396	idssegmented-bulgarian	wrist	k i t k a
397	idssegmented-bulgarian	hand	r ə k a
398	idssegmented-bulgarian	palmofhand	d l a n
399	idssegmented-bulgarian	finger	p r ə́ s t
400	idssegmented-bulgarian	thumb	p a l e tʃ
401	idssegmented-bulgarian	fingernail	n o k ə t
402	idssegmented-bulgarian	claw	n o k ə t
403	idssegmented-bulgarian	leg	k r a k
404	idssegmented-bulgarian	leg	n o g a
405	idssegmented-bulgarian	upperlegthigh	b e d r o
406	idssegmented-bulgarian	calfofleg	p r a s e tʃ
407	idssegmented-bulgarian	knee	k o l j a n o
408	idssegmented-bulgarian	foot	k r a k
409	idssegmented-bulgarian	foot	n o g a
410	idssegmented-bulgarian	foot	s t ə p a l o
411	idssegmented-bulgarian	foot	x o d i l o
412	idssegmented-bulgarian	ankle	g l e z e n
413	idssegmented-bulgarian	heel	p e t a
414	idssegmented-bulgarian	footprint	s l e d a
415	idssegmented-bulgarian	footprint	o t p e tʃ a t ə k + o t + s t ə́ p k a
416	idssegmented-bulgarian	toe	p r ə́ s t + n a + k r a k
417	idssegmented-bulgarian	wing	k r i l o
418	idssegmented-bulgarian	feather	p e r o
419	idssegmented-bulgarian	feather	p e r tʃ e
420	idssegmented-bulgarian	chest	g r ə́ d e n + k o ʃ
421	idssegmented-bulgarian	chest	g ə r d i
422	idssegmented-bulgarian	breast	g ə r d a
423	idssegmented-bulgarian	breast	g r ə́ d
424	idssegmented-bulgarian	nipple	z ə r n o
425	idssegmented-bulgarian	udder	v i m e
426	idssegmented-bulgarian	navel	p ə́ p
427	idssegmented-bulgarian	heart	s ə r tʃ e
428	idssegmented-bulgarian	lung	b j a l + d r o b
429	idssegmented-bulgarian	liver	tʃ e r e n + d r o b
430	idssegmented-bulgarian	kidney	b ə́ b r e k
431	idssegmented-bulgarian	spleen	d a l a k
432	idssegmented-bulgarian	stomach	s t o m a x
433	idssegmented-bulgarian	stomach	k o r e m
434	idssegmented-bulgarian	intestines	tʃ e r v o
435	idssegmented-bulgarian	waist	k r ə́ s t
436	idssegmented-bulgarian	waist	t a l i j a
437	idssegmented-bulgarian	hip	x a n ʃ
438	idssegmented-bulgarian	hip	x ə́ l b o k
439	idssegmented-bulgarian	hip	b e d r o
440	idssegmented-bulgarian	buttocks	s e d a l i ʃ t e
441	idssegmented-bulgarian	buttocks	z a d n a + tʃ a s t
442	idssegmented-bulgarian	buttocks	z a d n i k
443	idssegmented-bulgarian	buttocks	z a d n i c a
444	idssegmented-bulgarian	womb	u t r o b a
445	idssegmented-bulgarian	womb	m a t k a
446	idssegmented-bulgarian	testicles	t e s t i k u l
447	idssegmented-bulgarian	testicles	t e s t i s
448	idssegmented-bulgarian	penis	p e n i s
449	idssegmented-bulgarian	penis	tʃ l e n
450	idssegmented-bulgarian	breathorbreathe	d i ʃ a m
451	idssegmented-bulgarian	breathorbreathe	d ə́ x
452	idssegmented-bulgarian	yawn	p r o z j a v a m + s e
453	idssegmented-bulgarian	yawn	p r o z e j a + s e
454	idssegmented-bulgarian	yawn	p r o z i n a + s e
455	idssegmented-bulgarian	yawn	p r o z j a v k a
456	idssegmented-bulgarian	hiccough	x ə́ l tʃ a m
457	idssegmented-bulgarian	hiccough	x ə l tʃ u k a m
458	idssegmented-bulgarian	cough	k a ʃ l j a m
459	idssegmented-bulgarian	sneeze	k i x a m
460	idssegmented-bulgarian	sneeze	k i x v a m
461	idssegmented-bulgarian	sneeze	k i x n a
462	idssegmented-bulgarian	sweatperspire	p o t j a + s e
463	idssegmented-bulgarian	spit	p l j u j a
464	idssegmented-bulgarian	spit	p l j u v a m
465	idssegmented-bulgarian	spit	p l j u n a
466	idssegmented-bulgarian	spit	x r a tʃ a
467	idssegmented-bulgarian	vomit	p o v r ə́ ʃ t a m
468	idssegmented-bulgarian	vomit	p o v ə́ r n a
469	idssegmented-bulgarian	bite	x a p j a
470	idssegmented-bulgarian	bite	u x a p v a m
471	idssegmented-bulgarian	bite	u x a p j a
472	idssegmented-bulgarian	lick	l i ʒ a
473	idssegmented-bulgarian	lick	l i z v a m
474	idssegmented-bulgarian	lick	l i z n a
475	idssegmented-bulgarian	lick	b l i z v a m
476	idssegmented-bulgarian	lick	b l i z n a
477	idssegmented-bulgarian	dribble	l i g a v j a
478	idssegmented-bulgarian	sleep	s p j a
479	idssegmented-bulgarian	snore	x ə́ r k a m
480	idssegmented-bulgarian	dreamsomething	s ə n u v a m
481	idssegmented-bulgarian	wakeup	b u d j a + s e
482	idssegmented-bulgarian	wakeup	s ə b u ʒ d a m
483	idssegmented-bulgarian	wakeup	s ə b u d j a + s e
484	idssegmented-bulgarian	fart	p ə r d j a
485	idssegmented-bulgarian	fart	i z p ə r d j a
486	idssegmented-bulgarian	piss	u r i n i r a m
487	idssegmented-bulgarian	piss	p i k a j a
488	idssegmented-bulgarian	piss	i z p i k a j a
489	idssegmented-bulgarian	shitdefecate	i z x v ə́ r l j a m
490	idssegmented-bulgarian	shitdefecate	i z x v ə́ r l j a + i z p r a ʒ n e n i j a
491	idssegmented-bulgarian	copulate	i m a m + p o l o v i + s n o ʃ e n i j a
492	idssegmented-bulgarian	shiver	t r e p e r j a
493	idssegmented-bulgarian	bathe	k ə́ p j a
494	idssegmented-bulgarian	beget	s ə z d a v a m
495	idssegmented-bulgarian	beget	s ə z d a m
496	idssegmented-bulgarian	beborn	r a ʒ d a m + s e
497	idssegmented-bulgarian	beborn	r o d j a + s e
498	idssegmented-bulgarian	pregnant	b r e m e nː a
499	idssegmented-bulgarian	conceive	z a tʃ e v a m
500	idssegmented-bulgarian	conceive	z a tʃ e n a
501	idssegmented-bulgarian	bealiveorlife	ʒ e v e j a
502	idssegmented-bulgarian	bealiveorlife	ʒ i v
503	idssegmented-bulgarian	bealiveorlife	ʒ i v o t
504	idssegmented-bulgarian	bedeadordie	u m i r a m
505	idssegmented-bulgarian	bedeadordie	u m r a
506	idssegmented-bulgarian	bedeadordie	m ə́ r t ə v
507	idssegmented-bulgarian	bedeadordie	u m r j a l
508	idssegmented-bulgarian	drowned	u d a v e n
509	idssegmented-bulgarian	kill	u b i v a m
510	idssegmented-bulgarian	kill	u b i j a
511	idssegmented-bulgarian	corpse	t r u p
512	idssegmented-bulgarian	bury	p o g r e b v a m
513	idssegmented-bulgarian	bury	p o g r e b a
514	idssegmented-bulgarian	grave	g r o b
515	idssegmented-bulgarian	mightyorpowerfulorstrong	s i l e n
516	idssegmented-bulgarian	mightyorpowerfulorstrong	m o ʃ t e n
517	idssegmented-bulgarian	weak	s l a b
